,Text,Sentiment
21219,miss,negative
21221,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.,negative
6041,Greg Pritchard should have got threw to,negative
21223,filthy.,negative
16125,bad,negative
21227,. Sorry,negative
10884,e no good,negative
16124,wife`s tummy hurts. Just. Great.,negative
21230,beware.,negative
21231,miss,negative
10887,Sooo much work so little time,negative
6029,"Been sick all week and still not feeling so well,",negative
6028,very bad dream,negative
6026,Hates,negative
6025,. Not an easy problem,negative
21238,soo tired.. still kinda angry that i missed the concert,negative
6022,delicious,negative
16115,tired,negative
21243,SUCKS,negative
21245,impossible,negative
21247,Last free Friday.,negative
21248,negative,negative
16112,kaotic ones,negative
6014,I can`t go back to sleep.,negative
21251,very boring,negative
21255,miss,negative
6011,lost,negative
21256,disappointed,negative
21257,can`t believe,negative
6044,****,negative
6007,too long,negative
10880,hitting,negative
6048,Nooooooo!,negative
10861,"We givers make takers possible, but we get no appreciation for what we do--we just get taken.",negative
16147,poor little girl,negative
21177,sorry my friend ... but  is paying the mortgage,negative
21178,My lovely hair has been affected.,negative
21179,didn`t really work,negative
16146,irked,negative
10864,i cant believe i am having difficulties with twitter!,negative
21184,missing,negative
6072,hard,negative
21185,ugly.,negative
21186,bad news.,negative
6069,Over-thought,negative
21188,Sad,negative
10867,Ugh,negative
16141,lunch is no fun,negative
16137,sad face*,negative
16136,ll I languish reading the news stories again,negative
